codigo,denominacion
20000,"SERVICIOS NO PERSONALES"
21000,"Servicios Básicos"
21100,"Comunicaciones"
21200,"Energía Eléctrica"
21300,"Agua"
21400,"Telefonía"
21500,"Gas Domiciliario"
21600,"Internet"
22000,"Servicios de Transporte y Seguros"
22100,"Pasajes"
22110,"Pasajes al Interior del País"
22120,"Pasajes al Exterior del País"
22200,"Viáticos"
22210,"Viáticos por Viajes al Interior del País"
22220,"Viáticos por Viajes al Exterior del País"
22300,"Fletes y Almacenamiento"
22400,"Gastos de Instalación y Retorno"
22500,"Seguros"
22600,"Transporte de Personal"
23000,"Alquileres"
23100,"Alquiler de Inmuebles"
23200,"Alquiler de Equipos y Maquinarias"
23300,"Alquiler de Tierras y Terrenos"
23400,"Otros Alquileres"
24000,"Instalación, Mantenimiento y Reparaciones"
24100,"Mantenimiento y Reparación de Inmuebles, Muebles y Equipos"
24110,"Mantenimiento y Reparación de Inmuebles"
24120,"Mantenimiento y Reparación de Vehículos, Maquinaria y Equipos"
24130,"Mantenimiento y Reparación de Muebles y Enseres"
24200,"Mantenimiento y Reparación de Vías de Comunicación"
24300,"Otros Gastos por Concepto de Instalación, Mantenimiento y Reparación"
25000,"Servicios Profesionales y Comerciales"
25100,"Médicos, Sanitarios y Sociales"
25120,"Gastos Especializados por Atención Médica y Otros"
25130,"Gastos por Afiliación de Estudiantes Universitarios al Seguro Social"
25200,"Estudios, Investigaciones, Auditorías Externas y Revalorizaciones"
25210,"Consultorías por Producto"
25220,"Consultores Individuales de Línea"
25230,"Auditorías Externas"
25300,"Comisiones y Gastos Bancarios"
25400,"Lavandería, Limpieza e Higiene"
25500,"Publicidad"
25600,"Servicios de Imprenta, Fotocopiado y Fotográficos"
25700,"Capacitación del Personal"
25800,"Estudios e Investigaciones para Proyectos de Inversión No Capitalizables"
25810,"Consultorías por Producto"
25820,"Consultores Individuales de Línea"
25900,"Servicios Manuales"
26000,"Otros Servicios No Personales"
26200,"Gastos Judiciales"
26300,"Derechos sobre Bienes Intangibles"
26500,"Conjueces y Jueces Ciudadanos"
26600,"Servicio de Seguridad de los Batallones de Seguridad Física de la Policía Boliviana, las Fuerzas Armadas y Vigilancia Privada"
26610,"Servicios Públicos"
26620,"Servicios Privados"
26630,"Servicios por Traslado de Valores"
26640,"Compensación Económica"
26700,"Servicios de Laboratorios Especializados"
26900,"Otros Servicios No Personales"
26910,"Gastos de Representación"
26920,"Fallas de Caja"
26930,"Pago por Trabajos Dirigidos y Pasantías"
26940,"Compensación Costo de Vida"
26950,"Aguinaldo ""Esfuerzo por Bolivia"""
26990,"Otros"
27000,"Gastos por Servicios Especializados por la Actividad Extractiva de Recursos Naturales del Estado Plurinacional"
27100,"Servicios por la Extracción, Transformación y Conversión de los Recursos Naturales de Propiedad del Estado Plurinacional"
27110,"Pago por Costos Incurridos"
27120,"Pago por Utilidades"
30000,"MATERIALES Y SUMINISTROS"
31000,"Alimentos y Productos Agroforestales"
31100,"Alimentos y Bebidas para Personas, Desayuno Escolar y Otros"
31110,"Gastos por Refrigerios al Personal Permanente, Eventual y Consultores Individuales de Línea de las Instituciones Públicas"
31120,"Gastos por Alimentación y Otros Similares"
31130,"Alimentación Complementaria Escolar"
31140,"Alimentación Hospitalaria, Penitenciaria, Aeronaves y Otras Específicas"
31150,"Alimentos y Bebidas para la atención de emergencias y desastres naturales"
31200,"Alimentos para Animales"
31300,"Productos Agrícolas, Pecuarios y Forestales"
32000,"Productos de Papel, Cartón e Impresos"
32100,"Papel"
32200,"Productos de Artes Gráficas"
32300,"Libros, Manuales y Revistas"
32400,"Textos de Enseñanza"
32500,"Periódicos y Boletines"
33000,"Textiles y Vestuario"
33100,"Hilados, Telas, Fibras y Algodón"
33200,"Confecciones Textiles"
33300,"Prendas de Vestir"
33400,"Calzados"
34000,"Combustibles, Productos Químicos, Farmacéuticos y Otras Fuentes de Energía"
34100,"Combustibles, Lubricantes, Derivados y otras Fuentes de Energía"
34110,"Combustibles, Lubricantes y Derivados para consumo"
34120,"Combustibles, Lubricantes y Derivados para comercialización"
34130,"Energía Eléctrica para Comercialización"
34200,"Productos Químicos y Farmacéuticos"
34300,"Llantas y Neumáticos"
34400,"Productos de Cuero y Caucho"
34500,"Productos de Minerales no Metálicos y Plásticos"
34600,"Productos Metálicos"
34700,"Minerales"
34800,"Herramientas Menores"
34900,"Material y Equipo Militar"
39000,"Productos Varios"
39100,"Material de Limpieza e Higiene"
39200,"Material Deportivo y Recreativo"
39300,"Utensilios de Cocina y Comedor"
39400,"Instrumental Menor Médico-Quirúrgico"
39500,"Útiles de Escritorio y Oficina"
39600,"Útiles Educacionales, Culturales y de Capacitación"
39700,"Útiles y Materiales Eléctricos"
39800,"Otros Repuestos y Accesorios"
39900,"Otros Materiales y Suministros"
39910,"Acuñación de Monedas e Impresión de Billetes"
39911,"Acuñación de monedas"
39912,"Impresión de billetes"
39990,"Otros Materiales y Suministros"
